movieId,avg_movie_rating,rating_count
1,3.9815865,353.0
2,3.1895425,153.0
3,2.9855072,69.0
4,2.65625,16.0
5,3.2288136,59.0
6,3.7427535,138.0
7,3.7333333,60.0
8,2.6111112,9.0
9,3.3823528,17.0
10,3.451724,145.0
11,3.5265958,94.0
12,2.25,22.0
13,4.0,11.0
14,3.767857,28.0
15,2.8421052,19.0
16,3.8362832,113.0
17,3.986607,112.0
18,3.734375,32.0
19,2.5762713,118.0
20,2.9444444,27.0
21,3.45,130.0
22,3.2358491,53.0
23,3.0294118,17.0
24,3.05,40.0
25,3.672,125.0
26,3.6785715,14.0
27,3.875,8.0
28,3.90625,16.0
29,3.9454546,55.0
30,4.2,5.0
31,3.425926,54.0
32,3.8387623,307.0
34,3.5300546,183.0
35,3.25,8.0
36,3.9728682,129.0
37,2.6666667,3.0
38,3.4285715,7.0
39,3.3972602,146.0
40,3.6666667,3.0
41,3.6470587,17.0
42,3.1,20.0
43,3.5666666,15.0
44,2.754386,57.0
45,3.2454545,55.0
46,2.8214285,14.0
47,4.111111,306.0
48,2.9621212,66.0
49,5.0,1.0
50,4.3461537,338.0
52,3.66,50.0
53,4.0,1.0
54,2.8636363,11.0
55,3.4166667,6.0
56,1.5,1.0
57,3.45,10.0
58,3.827869,61.0
59,3.0,1.0
60,3.1447368,38.0
61,3.75,12.0
62,3.7303922,102.0
63,3.1904762,21.0
64,2.3076923,13.0
65,2.451613,31.0
66,1.9375,8.0
67,5.0,1.0
68,3.35,10.0
69,3.6666667,30.0
70,3.4303796,79.0
71,2.75,10.0
72,4.1153846,13.0
73,3.9705882,17.0
74,2.9583333,12.0
75,4.0,3.0
76,3.0227273,22.0
77,3.0,4.0
78,3.7142856,7.0
79,3.109375,32.0
80,4.0,1.0
81,3.1666667,12.0
82,4.423077,13.0
83,4.0,2.0
85,3.1666667,12.0
86,3.3333333,21.0
87,2.75,6.0
88,3.2,35.0
89,3.5526316,19.0
90,2.0,1.0
92,2.7,10.0
93,2.6923077,13.0
94,3.275,20.0
95,3.1344538,119.0
96,3.0,1.0
97,4.14,25.0
98,3.5,1.0
99,3.0,1.0
100,2.8181818,22.0
101,3.9,25.0
102,2.25,4.0
103,2.4285715,7.0
104,3.240909,110.0
105,3.4711537,52.0
107,3.5526316,38.0
108,3.0,1.0
110,3.9615386,351.0
111,4.084507,213.0
112,3.1949153,59.0
113,2.875,4.0
114,4.0,1.0
116,4.0,5.0
117,4.0,4.0
118,2.9,10.0
119,3.25,4.0
120,2.0,1.0
121,3.4285715,7.0
122,2.7631578,19.0
123,3.75,14.0
124,3.0,1.0
125,3.6176472,17.0
126,2.2727273,11.0
131,4.0,1.0
132,2.1666667,12.0
135,2.7727273,33.0
137,3.0,1.0
140,2.75,8.0
141,3.5215516,116.0
144,3.5714285,21.0
145,3.25,90.0
146,3.3333333,3.0
147,3.5952382,21.0
148,2.0,1.0
149,3.857143,7.0
150,3.951439,278.0
151,3.5086207,58.0
152,3.0,1.0
153,2.920513,195.0
154,4.3125,16.0
155,3.642857,7.0
156,3.9,10.0
157,2.4583333,12.0
158,2.6346154,78.0
159,3.368421,19.0
160,2.409091,77.0
161,3.6507936,126.0
162,3.4722223,36.0
163,3.4702382,84.0
164,3.7,15.0
165,3.5414634,205.0
166,2.9,5.0
167,1.0,1.0
168,3.1290324,62.0
169,1.962963,27.0
170,3.1666667,45.0
171,3.5,8.0
172,2.875,60.0
173,2.622093,86.0
174,2.2777777,9.0
175,3.609375,32.0
176,3.5666666,15.0
177,3.0714285,7.0
178,2.0,1.0
179,2.75,6.0
180,3.5172415,58.0
181,1.9,10.0
182,3.3333333,3.0
183,3.875,4.0
184,3.6666667,3.0
185,3.196,125.0
186,3.0948277,58.0
187,4.5,2.0
188,3.090909,11.0
189,1.0,2.0
190,3.5,3.0
191,2.85,10.0
193,2.2261906,42.0
194,4.111111,27.0
195,2.9117646,17.0
196,2.9661016,59.0
198,3.3783784,37.0
199,3.909091,11.0
201,4.0,3.0
202,3.0,3.0
203,3.8333333,18.0
204,2.8333333,48.0
205,2.9444444,9.0
206,3.909091,11.0
207,3.3285713,35.0
208,2.9148936,141.0
209,3.0,1.0
210,2.5,2.0
211,4.0,2.0
212,3.0,2.0
213,3.892857,14.0
214,4.4,5.0
215,4.125,48.0
216,3.2142856,49.0
217,2.5,4.0
218,3.3653846,26.0
219,4.75,4.0
220,2.5,1.0
222,3.75,26.0
223,3.9078948,152.0
224,3.491228,57.0
225,3.3695652,69.0
227,3.0,18.0
229,3.25,8.0
230,3.609375,32.0
231,3.1045198,177.0
232,3.9,30.0
233,3.2857144,14.0
234,2.575,20.0
235,3.860465,86.0
236,3.3359375,64.0
237,3.0394738,38.0
238,3.2,5.0
239,2.847826,23.0
240,2.875,8.0
241,3.3333333,3.0
242,3.6,5.0
243,3.0,1.0
244,2.8333333,3.0
246,4.236111,36.0
247,3.6046512,43.0
248,2.75,14.0
249,3.439394,33.0
250,2.5,3.0
251,3.0,1.0
252,3.2333333,45.0
253,3.5488505,174.0
254,2.75,4.0
255,1.8333334,6.0
256,2.637931,58.0
257,3.4285715,21.0
258,2.4583333,12.0
259,3.0263157,19.0
260,4.0632606,411.0
261,3.41,50.0
262,3.98,25.0
263,4.5,2.0
264,4.0,1.0
265,4.1354165,48.0
266,3.4117646,85.0
267,2.8055556,18.0
268,3.5,2.0
